Blog	four	second	available	here	kids	k	music	until	example	want	feature	wrong	series	re	wasn	service	needed	project	person	tech	came	net	result	best	asked	much	life	worked	things	had	possible	right	old	people	o	support	call	happy	full	inside	later	time	team	along	love	working	awesome	such	data	so	years	didn	internet	million	quite	open	future	san	say	saw	note	take	knew	ways	madison	going	where	sites	jobs	many	wants	photos	technology	summer	being	around	traffic	world	power	industry	favorite	mean	her	gone	am	original	tv	th	large	small	past	hours	experience	company	science	learn	sense	its	always	found	really	research	major	also	play	plan	sometimes	set	see	whole	community	recent	using	couple	d	continue	anything	into	link	line	posted	up	us	ago	having	try	video	let	great	makes	next	process	high	move	books	could	start	system	face	should	hope	means	stuff	email	co	ve	site	android	off	less	web	five	become	doing	building	chance	above	told	word	work	after	office	then	them	network	created	another	do	away	com	easy	photo	thanks	night	security	post	months	book	way	war	test	update	together	global	change	live	car	write	product	remember	still	now	drop	year	space	looking	shows	care	yourself	message	than	online	america	only	between	article	comes	learning	these	media	thinking	real	read	early	amp	business	aren	lot	trying	since	month	very	family	takes	history	tried	help	actually	systems	beyond	event	issue	reason	put	american	miss	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	ready	used	user	game	run	within	similar	doesn	go	does	facebook	button	click	following	products	started	control	links	software	including	ask	times	wrote	exactly	need	able	based	course	she	state	key	problem	well	page	twitter	home	he	piece	star	stay	friends	companies	likely	even	tips	ever	never	tell	give	answer	think	before	personal	better	weeks	went	side	content	isn	features	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	human	yes	yet	save	deal	popular	super	down	did	box	visit	making	may	grow	man	maybe	talk	nbsp	group	interesting	main	morning	thing	first	long	little	anyone	were	especially	show	behind	black	get	nearly	enough	reading	across	according	those	eventually	different	pay	same	running	money	either	images	videos	general	again	important	u	starting	forget	public	search	two	hour	huge	share	needs	coming	already	through	good	everyone	house	hard	idea	done	least	part	believe	john	built	build	most	find	please	point	simple	simply	create	understand	fun	itself	development	yesterday	spent	spend	big	bit	google	often	back	forward	single	entire	body	others	account	ll	day	red	text	national	taking	almost	thought	latest	add	works	buy	minutes	under	every	would	phone	must	me	join	keep	end	writers	over	writing	each	got	free	wanted	days	top	too	took	talking	though	watch	amazon	report	however	news	been	several	social	gave	specific	everything	head	check	no	focus	cool	level	says	goes	water	today	trump	information	happened	name	turn	place	any	ideas	sure	true	review	come	case	myself	someone	week	without	seems	blog	there	follow	far	worst	list	design	version	known	rather	short	might	number	friday	feel	story	kind	nothing	his	hit	b	him	art	recently	attention	became	questions	question	fast	called	nice	users	once	issues	include	apple	app	use	few	women	something	united	six	instead	related	our	york	their	which	who	why	looked	ones	words	view	stories	job	last	gets	know	because	lead	getting	own	apps	made	other
Kotaku	0	0	0	7	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	1	0	0	0	7	0	5	0	0	1	0	0	1	1	1	0	0	6	0	0	0	0	3	2	0	0	0	0	0	0	6	0	0	1	0	0	2	0	0	1	2	0	0	0	0	2	3	1	0	0	3	0	0	0	7	1	1	0	4	0	0	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	1	2	0	1	0	0	0	2	1	0	1	1	0	0	0	0	9	1	0	1	3	0	5	1	2	0	0	0	0	0	1	0	0	1	0	0	2	0	2	5	1	0	0	0	1	0	0	0	0	0	0	1	0	0	5	1	0	3	0	1	0	1	0	2	0	1	0	2	0	1	0	0	1	0	0	0	0	2	0	3	0	1	0	1	1	3	0	1	0	0	0	0	0	0	2	0	0	1	2	0	2	0	1	1	0	0	28	0	1	1	0	1	0	0	0	1	0	0	0	0	4	0	0	0	1	0	1	1	1	2	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	6	0	0	0	0	1	0	3	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	3	0	1	0	1	0	0	0	0	2	4	1	4	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	4	0	0	1	0	2	0	2	1	3	0	1	0	0	1	0	4	0	2	1	1	1	0	1	2	0	0	1	0	0	0	1	2	1	3	0	2	0	0	2	0	0	0	6	3	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	2	2	0	0	1	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0	1	1	7	2	0	0	4	2	0	1	2	1	0	1	3	0	0	0	1	2	0	1	0	5	0	0	1	0	1	0	1	0	0	0	1	0	3	0	3	0	0	0	0	8	0	0	1	0	0	4	3	0	1	0	1	0	0	0	0	1	0	0	0	2	4	0	3	1	0	0	0	1	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	3	1	2	5	2	1	0	0	0	0	2	0	3	0	1	2	0	1	1	0	4	6
Untitled_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Untitled_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Untitled_79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
@ProBlogger	1	0	0	6	1	0	0	0	0	3	0	0	2	5	0	0	0	0	0	0	0	1	0	0	2	1	2	0	1	1	1	1	1	3	0	0	0	0	1	0	0	3	0	0	1	0	0	1	0	5	2	0	0	1	0	0	2	0	0	0	0	1	1	7	0	3	2	1	0	0	2	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	5	0	0	2	0	1	0	0	2	0	1	0	0	0	1	0	0	11	0	0	0	1	1	0	0	0	0	0	3	0	10	0	0	0	0	1	1	1	0	0	2	0	0	0	0	8	1	0	1	0	0	0	0	0	4	0	0	0	0	2	8	0	0	3	0	0	0	3	1	0	1	1	0	2	0	23	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	2	0	0	1	0	0	1	1	0	4	9	1	1	0	0	3	0	3	0	0	0	1	0	0	0	0	12	0	1	0	3	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	2	0	3	1	0	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	3	0	1	0	0	0	0	0	1	1	0	1	0	2	0	2	23	2	0	0	0	1	0	2	0	5	0	0	0	10	0	0	1	0	0	0	1	0	1	1	0	0	20	0	0	5	4	0	0	1	0	0	0	1	0	1	8	0	0	0	0	5	0	0	3	0	0	0	0	0	1	24	2	1	0	0	0	0	1	0	4	0	0	9	0	0	1	0	1	0	0	0	4	0	0	0	0	1	2	0	2	0	0	1	14	1	3	2	1	0	1	9	2	1	0	0	0	1	1	2	0	0	1	4	3	18	0	1	1	0	0	1	0	0	0	2	0	0	1	0	0	1	2	0	1	0	0	0	0	1	6	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	4	2	0	1	0	1	4	0	0	1	1	0	0	0	0	0	2	2	0	1	1	0	0	0	0	1	1	0	0	0	0	0	9	0	0	3	0	3	1	0	1	0	0	0	1	0	1	2	2	3	1	62	4	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	7	1	1	1	0	1	0	0	0	0	0	4	1	0	0	1	0	0	0	3	1	7	3	10	0	1	0	1	0	1	0	9	0	1	0	1	2	0	0	2	4
43 Folders	5	8	5	28	1	2	0	15	0	26	1	6	0	48	2	3	3	3	8	0	1	0	2	14	1	37	32	5	55	26	5	24	10	54	1	3	3	6	7	2	5	46	2	1	15	7	19	6	3	75	16	8	3	0	5	4	8	2	21	1	4	10	2	5	0	7	20	0	3	20	3	0	3	1	17	10	2	13	7	1	10	7	17	2	14	2	4	1	3	2	8	4	4	2	0	11	4	9	20	1	77	0	4	27	6	2	15	3	18	4	0	2	8	7	45	4	14	21	2	3	15	45	21	3	11	18	14	17	14	5	3	2	0	1	1	24	11	4	5	16	20	11	27	11	0	40	2	0	13	16	10	4	12	16	3	3	1	6	3	59	10	0	25	22	4	0	10	74	7	17	5	2	13	5	0	2	4	25	36	0	1	4	3	0	13	8	3	3	4	6	20	41	2	14	1	2	0	27	15	1	36	1	1	22	3	4	5	6	24	2	5	19	43	4	11	8	4	39	10	5	2	29	4	4	0	2	30	14	2	2	4	1	5	3	2	2	1	7	11	2	4	2	10	8	8	7	5	10	8	6	0	2	6	2	1	18	21	5	1	1	2	2	0	2	3	2	1	8	9	3	2	8	21	1	2	2	29	0	2	15	24	4	4	6	39	0	1	6	5	2	4	50	5	26	26	17	4	2	31	13	4	27	1	2	4	1	0	2	8	7	1	46	47	11	6	18	14	4	0	3	1	59	45	2	4	13	6	2	2	2	2	9	13	0	4	11	15	2	7	14	22	1	0	2	0	7	33	29	21	28	14	16	8	4	2	1	50	5	15	13	0	0	27	7	7	3	9	4	5	7	0	0	0	10	13	0	5	2	1	0	10	4	7	4	4	1	13	7	26	8	2	16	6	10	11	17	9	15	2	2	41	10	16	21	7	11	0	14	3	6	1	1	2	2	25	7	2	19	25	1	6	1	1	4	1	37	16	4	4	0	1	13	10	0	1	0	5	7	20	12	20	1	1	82	1	10	7	2	29	4	13	2	8	5	7	2	14	2	4	2	6	1	0	1	1	31	2	1	2	2	12	1	2	37	3	3	3	13	10	5	13	0	6	2	3	5	7	38	3	10	9	1	5	3	8	7	11	12	2	5	33	0	7	3	3	10	3	2	8	3	16	9	2	7	6	9	7	28	3	6	12	3	1	9	1	0	3	2	3	15	5	4	0	1	1	8	11	13	0	23	0	4	4	3	35	1	19	45	70	32	2	2	1	4	2	19	13	13	40	57	2	11	13	5	28	22
Daily Kos	4	7	4	24	4	2	0	2	1	17	0	6	2	24	7	0	4	1	3	0	5	6	0	8	10	21	7	4	14	37	3	33	4	35	10	32	4	1	4	0	6	20	0	1	1	13	0	7	2	55	13	6	0	14	3	4	7	1	23	3	5	18	3	2	3	16	21	0	8	10	9	0	2	1	17	13	0	6	3	2	2	9	19	4	7	1	2	7	2	4	10	8	0	3	1	0	4	21	2	9	13	11	3	25	1	18	0	4	13	3	6	4	8	6	9	6	6	25	2	4	0	28	27	3	16	5	3	10	7	10	5	4	5	2	2	28	4	7	4	17	2	3	1	3	5	18	1	0	12	13	0	10	1	5	0	1	2	9	1	21	39	5	8	25	1	1	20	26	16	1	1	0	3	6	18	7	9	2	14	4	4	0	4	2	13	8	4	2	3	0	27	30	2	10	0	3	5	10	0	4	36	4	10	30	16	3	1	1	24	12	0	16	2	3	3	10	7	9	6	8	5	16	25	5	9	2	9	12	0	1	1	6	4	11	16	1	2	4	6	3	0	4	8	6	7	3	9	15	1	8	0	1	3	6	3	13	16	11	1	1	2	3	0	1	4	1	0	3	2	3	3	2	11	4	4	7	17	39	4	5	21	1	1	5	112	4	1	3	1	5	8	32	0	3	7	7	12	8	11	11	6	13	8	5	5	0	7	0	13	5	2	22	14	9	8	4	44	19	2	6	3	44	12	4	3	1	8	2	10	6	6	20	14	1	2	6	7	1	8	5	10	51	10	4	1	12	16	20	19	5	1	39	3	17	9	10	25	7	11	3	5	12	32	0	4	4	9	6	12	5	0	5	7	10	7	20	3	3	16	0	25	2	6	1	2	5	6	14	17	8	16	12	8	10	11	10	4	5	1	4	25	16	0	6	0	5	3	0	2	4	2	0	3	3	9	2	0	4	20	3	3	7	1	3	4	15	15	1	2	9	5	4	1	2	0	4	1	2	15	6	51	1	8	22	3	6	11	0	28	3	2	8	4	2	11	6	16	10	9	14	1	6	1	5	9	17	2	17	2	2	1	6	3	41	5	0	2	14	3	3	10	80	2	4	10	3	5	20	7	5	2	4	10	7	1	8	31	9	5	1	34	4	11	1	5	0	1	6	5	3	14	3	8	1	6	4	8	77	3	0	25	0	3	1	2	13	8	2	6	2	0	3	7	4	0	0	8	12	13	11	11	3	4	2	24	7	52	31	84	8	1	2	5	2	7	10	15	1	24	34	3	11	16	0	12	34
Deadspin	0	1	0	2	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	1	2	0	0	0	1	0	0	1	1	0	2	0	1	0	0	0	1	4	0	0	0	0	0	0	1	0	1	0	2	0	0	0	2	1	0	0	1	0	0	3	1	2	0	0	0	1	0	0	0	1	0	0	7	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	0	0	3	1	1	0	0	1	0	0	0	0	3	0	1	0	5	12	0	1	0	2	0	2	1	0	0	0	0	0	0	0	3	0	4	0	0	0	3	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	8	0	2	0	0	0	1	0	1	5	1	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	26	0	0	0	0	0	1	0	0	0	1	2	0	0	3	1	0	0	1	1	0	2	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	1	12	1	1	0	1	0	0	1	3	0	1	1	0	0	4	4	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	0	1	1	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	2	0	1	0	1	0	1	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	3	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	4	0	0	0	0	0	1	0	2	1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	3	1	0	1	3	1	0	0	3	0	0	0	0	0	1	1	0	2	0	1	0	0	3	0	1	0	0	0	2	0	1	0	0	0	0	1	0	2	0	0	1	0	0	2	1	0	0	0	0	1	1	1	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	1	0	6	0	1	0	2	0	2	0	0	0	0	1	2	2	4	1	1	3	0	0	1	1
The Dish	0	0	0	2	0	1	0	0	4	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	1	0	3	4	1	0	3	5	1	2	0	0	0	0	0	6	0	0	7	0	0	0	0	6	11	3	2	1	1	2	0	0	1	0	3	1	1	0	0	2	0	0	0	3	0	1	0	0	0	4	0	7	0	0	2	0	1	1	2	1	1	0	0	0	3	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	7	3	2	0	0	0	0	0	0	1	0	1	0	1	1	0	1	3	3	4	0	0	3	0	3	2	0	0	1	0	1	1	1	0	3	0	1	1	3	2	0	7	0	0	2	2	3	0	1	0	2	0	0	0	4	0	3	0	2	0	1	0	0	0	1	0	0	0	1	2	2	0	3	0	2	1	0	0	0	4	0	2	3	1	0	0	0	5	0	0	1	9	1	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	2	0	1	3	0	0	0	0	1	0	0	0	1	3	0	0	0	0	2	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	3	2	0	0	1	0	2	4	0	0	2	0	0	1	1	1	1	2	0	1	0	2	1	0	0	0	0	4	1	0	1	0	4	1	0	1	0	2	2	0	0	1	1	0	0	0	0	1	2	0	0	0	1	0	1	1	2	0	0	0	0	2	1	4	6	2	2	1	0	0	1	0	2	0	1	3	0	2	2	0	1	0	2	0	1	1	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	4	0	0	2	1	3	0	2	3	0	1	0	0	5	2	3	0	2	0	0	1	0	1	0	3	0	0	2	0	0	2	3	1	1	1	0	1	0	3	9	0	0	0	1	1	2	2	0	0	0	0	2	1	1	0	0	11	0	1	3	1	3	2	0	0	0	1	0	0	1	1	0	1	0	0	0	1	2	6	0	0	1	0	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	2	0	6	3	1	0	0	0	0	0	1	1	3	1	1	0	0	3	0	2	11	0	0	0	1	4	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	7	2	5	3	0	0	4	2	0	1	3	0	6	1	0	0	1	0	2	2
Go Fug Yourself	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	10	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	20	2	0	0	0	0	0	3	1	1	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	1	0	0	19	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	11
O'Reilly Radar	3	0	1	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	3	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	6	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
